"Unfallfolge","Verwendetes Verkehrsmittel","Art der Verkehrsteilnahme","Altersklasse","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Getötete Person","Motorrad","Lenker/in","20 - 29 Jahre",11,6,12,8,6,10,14,8,8,8
"Getötete Person","Motorrad","Lenker/in","30 - 39 Jahre",7,5,11,3,4,5,4,4,4,7
"Getötete Person","Motorrad","Lenker/in","40 - 49 Jahre",9,6,7,8,4,9,3,4,6,6
"Getötete Person","Motorrad","Lenker/in","50 - 59 Jahre",13,16,11,12,6,9,12,6,7,9
"Getötete Person","Motorrad","Lenker/in","60 - 69 Jahre",11,3,2,6,3,6,5,7,9,4
"Getötete Person","Motorrad","Lenker/in","70 - 79 Jahre",6,1,0,3,2,4,4,2,3,1
"Getötete Person","Motorrad","Lenker/in","80 - 89 Jahre",0,0,1,1,0,1,0,1,2,0
"Getötete Person","Motorrad","Lenker/in","90 Jahre und mehr",0,0,0,0,0,0,0,0,0,0
"Schwer verletzte Person","Motorrad","Lenker/in","20 - 29 Jahre",179,168,195,185,159,197,185,196,199,187
"Schwer verletzte Person","Motorrad","Lenker/in","30 - 39 Jahre",147,145,157,140,125,135,144,106,134,118
"Schwer verletzte Person","Motorrad","Lenker/in","40 - 49 Jahre",233,155,162,185,158,123,139,117,127,134
"Schwer verletzte Person","Motorrad","Lenker/in","50 - 59 Jahre",229,224,231,240,224,198,192,173,200,167
"Schwer verletzte Person","Motorrad","Lenker/in","60 - 69 Jahre",95,96,95,100,117,145,122,162,128,123
"Schwer verletzte Person","Motorrad","Lenker/in","70 - 79 Jahre",42,39,32,46,47,28,44,51,56,39
"Schwer verletzte Person","Motorrad","Lenker/in","80 - 89 Jahre",5,8,7,8,1,11,12,5,10,13
"Schwer verletzte Person","Motorrad","Lenker/in","90 Jahre und mehr",0,0,0,2,0,0,0,0,0,0
"Leicht verletzte Person","Motorrad","Lenker/in","20 - 29 Jahre",514,480,518,507,517,613,523,486,521,544
"Leicht verletzte Person","Motorrad","Lenker/in","30 - 39 Jahre",417,336,348,373,350,358,370,328,316,331
"Leicht verletzte Person","Motorrad","Lenker/in","40 - 49 Jahre",426,387,416,363,312,340,319,325,282,256
"Leicht verletzte Person","Motorrad","Lenker/in","50 - 59 Jahre",429,410,443,374,413,360,399,386,340,325
"Leicht verletzte Person","Motorrad","Lenker/in","60 - 69 Jahre",162,182,195,224,234,222,224,198,226,230
"Leicht verletzte Person","Motorrad","Lenker/in","70 - 79 Jahre",64,71,86,80,80,67,64,87,82,83
"Leicht verletzte Person","Motorrad","Lenker/in","80 - 89 Jahre",15,4,11,16,18,20,14,11,24,19
"Leicht verletzte Person","Motorrad","Lenker/in","90 Jahre und mehr",0,0,0,0,0,0,0,2,1,0
